"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0
"Jan 1, 09:00 am",0.601647
"Jan 1, 10:00 am",1.1015
"Jan 1, 11:00 am",1.22976
"Jan 1, 12:00 pm",1.06857
"Jan 1, 01:00 pm",0.556209
"Jan 1, 02:00 pm",0.266725
"Jan 1, 03:00 pm",0.0271636
"Jan 1, 04:00 pm",-0
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0
"Jan 2, 09:00 am",0.266758
"Jan 2, 10:00 am",0.559683
"Jan 2, 11:00 am",0.732357
"Jan 2, 12:00 pm",0.729545
"Jan 2, 01:00 pm",0.553695
"Jan 2, 02:00 pm",0.270079
"Jan 2, 03:00 pm",0.0321259
"Jan 2, 04:00 pm",-0
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0
"Jan 3, 09:00 am",0.269698
"Jan 3, 10:00 am",0.567916
"Jan 3, 11:00 am",0.747018
"Jan 3, 12:00 pm",0.74795
"Jan 3, 01:00 pm",0.566104
"Jan 3, 02:00 pm",0.280171
"Jan 3, 03:00 pm",0.0330453
"Jan 3, 04:00 pm",-0
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0
"Jan 4, 09:00 am",0.847579
"Jan 4, 10:00 am",1.79328
"Jan 4, 11:00 am",2.27095
"Jan 4, 12:00 pm",2.3653
"Jan 4, 01:00 pm",2.01131
"Jan 4, 02:00 pm",1.3222
"Jan 4, 03:00 pm",0.176854
"Jan 4, 04:00 pm",-0
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0
"Jan 5, 09:00 am",0.845125
"Jan 5, 10:00 am",1.79778
"Jan 5, 11:00 am",2.6112
